b,dgp_num,N,T0,twfe,parallel_trends,ar_error_term,instrument_noise,estimator,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p,true_te
17,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.142509749383272,0.12371529696008277,0.9000277673415099,1.3849917314250342,NA,1
17,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.16117205239905,0.12380712860033898,0.9185100803423856,1.403834024455714,NA,1
17,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.3340671381210183,0.10034981902065236,1.0495380614216052,1.530752783401497,NA,1
17,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.9166364266812213,0.19493363325623,0.5345735261234712,1.2986993272389713,2,1
17,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.8465383763956997,0.15034573713719884,0.551866146377664,1.1412106064137355,0,1
17,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.179218587852156,0.09437925259900956,0.9942352527580972,1.3642019229462148,NA,1
17,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.253068117264715,0.20087312794717185,0.8593567864882581,1.6467794480411715,2,1
17,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.253068117264715,0.20087312794717185,0.8593567864882581,1.6467794480411715,2,1
18,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.013875826290753,0.15788284800657104,0.7044254441978738,1.3233262083836324,NA,1
18,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.1008460662700708,0.12892899229426652,0.8481452413733084,1.3535468911668331,NA,1
18,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.09052603486898,0.12779225261149796,0.840053219750444,1.340998849987516,NA,1
18,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.1212054520712902,0.1306631138189484,0.6264106290938846,1.377305155156429,NA,1
18,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,1.1630714090828669,0.15434635033103686,0.8605581212888327,1.4655846968769006,2,1
18,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.8551784377324886,0.1438094087928436,0.5733171758605174,1.1370396996044598,0,1
18,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.033495395716462,0.08788881254912845,0.8612333231201701,1.2057574683127537,NA,1
18,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.1487683683570389,0.16027227403355865,0.834634711251264,1.4629020254628138,2,1
18,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.1487683683570389,0.16027227403355865,0.834634711251264,1.4629020254628138,2,1
19,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.7723520078684836,0.15739652347673927,0.4638548218540746,1.0808491938828926,NA,1
19,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.0096126344112266,0.126224538537775,0.7622125388771877,1.2570127299452656,NA,1
19,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,0.9996689918465032,0.12655049146897512,0.7516300285673119,1.2477079551256944,NA,1
19,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,0.8823807709707356,0.07101508024219544,0.5879949456830695,1.0215703282454387,NA,1
19,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,1.0268269497051643,0.25252852916179974,0.5318801274791644,1.5217737719311648,2,1
19,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.5641082839118352,0.1395377683285329,0.29061928350481697,0.8375972843188535,0,1
19,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,0.93897351454156,0.09508954389852252,0.7525980085004558,1.125349020582664,NA,1
19,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.9202836284657396,0.14963217317053382,0.6270045690514934,1.213562687879986,2,1
19,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.9202836284657396,0.14963217317053382,0.6270045690514934,1.213562687879986,2,1
