b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
32,1,4,QLD ($p$ estimated),1,0,-1.914639991237474,2.4959719534100113,-6.806745019921096,2.977465037446149,1
33,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.978602385212503,0.17493657634490226,4.635726695576495,5.321478074848511,NA
33,1,4,QLD ($p$ known),1,0,-1.520651880970717,2.3931328568864965,-6.21119228046825,3.1698885185268164,2
33,1,4,QLD ($p$ estimated),1,0,-1.8266033200123937,1.1969117153806583,-4.172550282158484,0.5193436421336972,1
34,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.11553241104012,0.16923643131512267,4.783829005662479,5.447235816417761,NA
34,1,4,QLD ($p$ known),1,0,-3.5720886460960206,4.177815768105599,-11.760607551582996,4.616430259390954,2
34,1,4,QLD ($p$ estimated),1,0,-5.150021757611523,3.7778482547639087,-12.554604336948785,2.2545608217257387,1
35,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.850104251627232,0.17353722666964624,4.509971287354725,5.190237215899739,NA
35,1,4,QLD ($p$ known),1,0,-3.1496964102751375,34.65746869795579,-71.0783350582685,64.77894223771821,2
35,1,4,QLD ($p$ estimated),1,0,24.70326593712934,0.4608838625633805,23.79993356650511,25.60659830775357,0
36,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.697490090950402,0.17899591281762903,4.346658101827849,5.048322080072955,NA
36,1,4,QLD ($p$ known),1,0,-1.5948758652950377,4.767749707480792,-10.93966529195739,7.749913561367315,2
36,1,4,QLD ($p$ estimated),1,0,-3.463246670165592,2.579169940891533,-8.518419754312998,1.5919264139818123,1
37,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.887686891131813,0.18355457224319932,4.527919929535143,5.2474538527284835,NA
37,1,4,QLD ($p$ known),1,0,-3.022265009937529,3.136417417685613,-9.16964314860133,3.125113128726273,2
37,1,4,QLD ($p$ estimated),1,0,-3.022265009937529,3.136417417685613,-9.16964314860133,3.125113128726273,2
38,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.330224332992851,0.1841760400419628,4.969239294510604,5.691209371475098,NA
