b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
69,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.84777083202292,0.17162241700318986,4.511390894696667,5.184150769349172,NA
69,1,4,QLD ($p$ known),1,0,-1.0069657304893116,3.735250072617808,-8.328055872820215,6.3141244118415925,2
69,1,4,QLD ($p$ estimated),1,0,-0.32492618847865806,1.4125841746648715,-3.0935911708218065,2.4437387938644903,1
70,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.237379806056291,0.17849233128066036,4.887534836746196,5.587224775366385,NA
70,1,4,QLD ($p$ known),1,0,-1.3878756045928382,2.430952426917473,-6.1525423613510855,3.376791152165409,2
70,1,4,QLD ($p$ estimated),1,0,25.973999774666265,0.5003503007102745,24.993313185274125,26.954686364058404,0
71,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.05441199032694,0.1769650340188105,4.707560523650072,5.401263457003809,NA
71,1,4,QLD ($p$ known),1,0,-0.9019856982994432,2.943326338581473,-6.67090532191913,4.866933925320244,2
71,1,4,QLD ($p$ estimated),1,0,-0.9019856982994432,2.943326338581473,-6.67090532191913,4.866933925320244,2
72,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.946752518622745,0.18903215283588223,4.576249499064415,5.317255538181074,NA
72,1,4,QLD ($p$ known),1,0,-0.6736368068716506,3.946931303112957,-8.409622160973047,7.062348547229745,2
72,1,4,QLD ($p$ estimated),1,0,24.641120194498615,0.45267395595397986,23.753879240828816,25.528361148168415,0
73,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.962449069494516,0.18499853431907504,4.5998519422291295,5.325046196759903,NA
